numPosto;numEndereco;tipo;concentrador;numLed;concentradorSecundario;numLedSecundario;coluna;capacidade;descricao
19;150040;FLOWRACK;;;;;;;
19;159560;FLOWRACK;;;;;;;
19;159561;FLOWRACK;;;;;;;
19;159562;FLOWRACK;;;;;;;
19;160331;FLOWRACK;;;;;;;
19;159564;FLOWRACK;;;;;;;
19;159565;FLOWRACK;;;;;;;
19;159566;FLOWRACK;;;;;;;
19;159567;FLOWRACK;;;;;;;
19;150006;FLOWRACK;;;;;;;
19;159568;FLOWRACK;;;;;;;
19;159569;FLOWRACK;;;;;;;
19;159570;FLOWRACK;;;;;;;
19;159571;FLOWRACK;;;;;;;
19;159572;FLOWRACK;;;;;;;
19;159573;FLOWRACK;;;;;;;
19;160334;FLOWRACK;;;;;;;
19;159575;FLOWRACK;;;;;;;
19;150007;FLOWRACK;;;;;;;
19;159576;FLOWRACK;;;;;;;
19;159577;FLOWRACK;;;;;;;
19;159578;FLOWRACK;;;;;;;
19;159579;FLOWRACK;;;;;;;
19;159580;FLOWRACK;;;;;;;
19;159581;FLOWRACK;;;;;;;
19;159582;FLOWRACK;;;;;;;
19;159583;FLOWRACK;;;;;;;
19;150008;FLOWRACK;;;;;;;
19;159584;FLOWRACK;;;;;;;
19;159585;FLOWRACK;;;;;;;
19;159586;FLOWRACK;;;;;;;
19;159587;FLOWRACK;;;;;;;
19;159588;FLOWRACK;;;;;;;
19;159589;FLOWRACK;;;;;;;
19;159590;FLOWRACK;;;;;;;
19;159591;FLOWRACK;;;;;;;
19;150009;FLOWRACK;;;;;;;
19;159592;FLOWRACK;;;;;;;
19;159593;FLOWRACK;;;;;;;
19;159594;FLOWRACK;;;;;;;
19;160337;FLOWRACK;;;;;;;
19;159596;FLOWRACK;;;;;;;
19;159597;FLOWRACK;;;;;;;
19;159598;FLOWRACK;;;;;;;
19;159599;FLOWRACK;;;;;;;
19;150041;FLOWRACK;;;;;;;
19;159600;FLOWRACK;;;;;;;
19;159601;FLOWRACK;;;;;;;
19;159602;FLOWRACK;;;;;;;
19;159603;FLOWRACK;;;;;;;
19;159604;FLOWRACK;;;;;;;
19;159605;FLOWRACK;;;;;;;
19;159606;FLOWRACK;;;;;;;
19;159607;FLOWRACK;;;;;;;
19;150043;FLOWRACK;;;;;;;
19;159608;FLOWRACK;;;;;;;
19;159609;FLOWRACK;;;;;;;
19;159610;FLOWRACK;;;;;;;
19;159611;FLOWRACK;;;;;;;
19;159612;FLOWRACK;;;;;;;
19;159613;FLOWRACK;;;;;;;
19;159614;FLOWRACK;;;;;;;
19;159615;FLOWRACK;;;;;;;
19;150045;FLOWRACK;;;;;;;
19;159616;FLOWRACK;;;;;;;
19;159617;FLOWRACK;;;;;;;
19;159618;FLOWRACK;;;;;;;
19;159619;FLOWRACK;;;;;;;
19;159620;FLOWRACK;;;;;;;
19;159621;FLOWRACK;;;;;;;
19;159622;FLOWRACK;;;;;;;
19;159623;FLOWRACK;;;;;;;
19;150046;FLOWRACK;;;;;;;
19;159624;FLOWRACK;;;;;;;
19;159625;FLOWRACK;;;;;;;
19;159626;FLOWRACK;;;;;;;
19;159627;FLOWRACK;;;;;;;
19;159628;FLOWRACK;;;;;;;
19;159629;FLOWRACK;;;;;;;
19;159630;FLOWRACK;;;;;;;
19;159631;FLOWRACK;;;;;;;
19;150012;FLOWRACK;;;;;;;
19;159632;FLOWRACK;;;;;;;
19;159633;FLOWRACK;;;;;;;
19;159634;FLOWRACK;;;;;;;
19;159635;FLOWRACK;;;;;;;
19;159636;FLOWRACK;;;;;;;
19;159637;FLOWRACK;;;;;;;
19;159638;FLOWRACK;;;;;;;
19;159639;FLOWRACK;;;;;;;
19;150013;FLOWRACK;;;;;;;
19;159640;FLOWRACK;;;;;;;
19;159641;FLOWRACK;;;;;;;
19;159642;FLOWRACK;;;;;;;
19;159643;FLOWRACK;;;;;;;
19;159644;FLOWRACK;;;;;;;
19;159645;FLOWRACK;;;;;;;
19;159646;FLOWRACK;;;;;;;
19;159647;FLOWRACK;;;;;;;
19;150015;FLOWRACK;;;;;;;
19;159648;FLOWRACK;;;;;;;
19;159649;FLOWRACK;;;;;;;
19;159650;FLOWRACK;;;;;;;
19;159651;FLOWRACK;;;;;;;
19;159652;FLOWRACK;;;;;;;
19;159653;FLOWRACK;;;;;;;
19;159654;FLOWRACK;;;;;;;
19;159655;FLOWRACK;;;;;;;
19;150016;FLOWRACK;;;;;;;
19;159656;FLOWRACK;;;;;;;
19;159657;FLOWRACK;;;;;;;
19;159658;FLOWRACK;;;;;;;
19;159659;FLOWRACK;;;;;;;
19;159660;FLOWRACK;;;;;;;
19;159661;FLOWRACK;;;;;;;
19;159662;FLOWRACK;;;;;;;
19;159663;FLOWRACK;;;;;;;
19;149962;FLOWRACK;;;;;;;
19;149963;FLOWRACK;;;;;;;
19;163024;FLOWRACK;;;;;;;
19;163025;FLOWRACK;;;;;;;
19;163026;FLOWRACK;;;;;;;
19;163027;FLOWRACK;;;;;;;
19;163028;FLOWRACK;;;;;;;
19;163029;FLOWRACK;;;;;;;
19;163030;FLOWRACK;;;;;;;
19;163031;FLOWRACK;;;;;;;
19;149964;FLOWRACK;;;;;;;
19;149965;FLOWRACK;;;;;;;
19;156243;FLOWRACK;;;;;;;
19;156244;FLOWRACK;;;;;;;
19;156245;FLOWRACK;;;;;;;
19;156246;FLOWRACK;;;;;;;
19;156247;FLOWRACK;;;;;;;
19;156248;FLOWRACK;;;;;;;
19;156249;FLOWRACK;;;;;;;
19;156250;FLOWRACK;;;;;;;
19;156251;FLOWRACK;;;;;;;
19;153671;FLOWRACK;;;;;;;
19;153672;FLOWRACK;;;;;;;
19;156252;FLOWRACK;;;;;;;
19;156253;FLOWRACK;;;;;;;
19;156254;FLOWRACK;;;;;;;
19;156255;FLOWRACK;;;;;;;
19;156256;FLOWRACK;;;;;;;
19;156257;FLOWRACK;;;;;;;
19;156258;FLOWRACK;;;;;;;
19;156259;FLOWRACK;;;;;;;
19;156260;FLOWRACK;;;;;;;
19;149979;FLOWRACK;;;;;;;
19;156261;FLOWRACK;;;;;;;
19;156262;FLOWRACK;;;;;;;
